Wall time,Step,Value
1666472741.2565663,464896,1560.582275390625
1666472976.8048172,466944,1534.0301513671875
1666473214.3191593,468992,1448.447265625
1666473446.2520454,471040,1316.6373291015625
1666473676.4413965,473088,1346.2674560546875
1666473908.7394588,475136,1354.2318115234375
1666474142.4922502,477184,1363.9676513671875
1666474379.1856563,479232,1418.1119384765625
1666474612.7958572,481280,1451.10546875
1666474849.0896525,483328,1511.8592529296875
1666475084.009473,485376,1362.0889892578125
1666475320.6997309,487424,1312.192626953125
1666475557.9649653,489472,1423.68017578125
1666475794.3917167,491520,1410.6650390625
1666476032.5222435,493568,1404.078857421875
1666476271.751242,495616,1347.444091796875
1666476510.9160054,497664,1376.5936279296875
1666476749.521324,499712,1446.3770751953125
1666476987.5096154,501760,1401.2491455078125
1666477225.2843025,503808,1430.2637939453125
1666477462.4015088,505856,1354.783203125
1666477704.3491466,507904,1414.089599609375
1666477941.705237,509952,1408.492431640625
1666478178.3046675,512000,1348.73828125
1666478417.45243,514048,1359.9879150390625
1666478697.9565806,516096,1408.1055908203125
1666479016.35568,518144,1478.201416015625
1666479360.851698,520192,1415.845947265625
1666479645.462077,522240,1383.9498291015625
1666479933.6602697,524288,1465.7353515625
1666480195.7367892,526336,1422.8480224609375
1666480462.9333262,528384,1362.4910888671875
1666480735.2194436,530432,1326.9818115234375
1666481002.3271146,532480,1394.2655029296875
1666481265.0855966,534528,1548.76123046875
1666481545.1705062,536576,1587.621337890625
1666481796.9258287,538624,1475.9007568359375
1666482101.2136054,540672,1417.52392578125
1666482378.354822,542720,1449.1019287109375
1666482640.5136561,544768,1342.2569580078125
1666482912.5349405,546816,1358.0113525390625
1666483176.4530683,548864,1380.293701171875
1666483437.2242675,550912,1389.232177734375
1666483698.2797718,552960,1395.4188232421875
1666483952.8549867,555008,1422.0076904296875
1666484225.7566135,557056,1316.20849609375
1666484484.0680058,559104,1400.4134521484375
1666484765.1205516,561152,1446.9510498046875
1666485037.5343199,563200,1445.0474853515625
1666485318.4011178,565248,1472.211181640625
1666485597.9291437,567296,1421.0311279296875
1666485900.6641505,569344,1460.4127197265625
1666486200.019513,571392,1498.353759765625
1666486480.7409003,573440,1387.1268310546875
1666486773.453773,575488,1436.904296875
1666487039.1451113,577536,1392.1922607421875
1666487270.1218498,579584,1408.2701416015625
1666487500.2031465,581632,1434.9395751953125
1666487730.503377,583680,1445.260498046875
1666487961.8193436,585728,1394.7384033203125
1666488197.4761572,587776,1386.0654296875
1666488430.951102,589824,1401.5751953125
1666488663.5385919,591872,1459.6995849609375
1666488892.694922,593920,1470.4090576171875
1666489125.8078768,595968,1505.369140625
1666489359.6579258,598016,1446.024169921875
1666489591.0632968,600064,1348.17529296875
