Model,Simulator
-2.65334232346553,-0.26542598874113676
-4.149567555955685,-0.6260792209451419
-2.561102529911174,-0.026726012156589207
-3.8475833497909644,-0.7075233449798355
-2.407657305514128,-0.026410759874740064
-4.536027120107046,-0.9128275772579482
-3.018999619188526,0
-4.315286660549561,-0.5201518112734747
-1.6789210551610276,-0.02642240668140927
-4.159037858883518,-0.686638133063165
-2.7376642542320373,0
-3.9045035884961643,-0.5437824680755674
-2.3849839568117184,0
-3.9455159557987614,-0.5919985632891447
-3.0230165454383964,-0.37463467929305116
-3.949050371949147,-0.5923540442376287
-2.32402071976149,-0.2691319334192712
-4.456742482472931,-0.9546271034553445
-1.837432528530686,-0.3558077646819007
-4.08807364208333,-0.8213808377172633
-3.081678647697713,-0.026370799732974515
-3.9659912384840412,-0.7355024965087035
-2.6114474834386194,-0.18421164850683736
-4.165738278896982,-0.6856165376161206
-2.1051458500031646,-0.16620033933761746
-4.122603219988762,0
-3.5208241827326336,-0.9806175188665687
-4.5770160653624306,-0.7302925578171662
-2.7122937304996313,-0.9235842297034224
-3.883538824190606,-0.5363914192331946
-2.875390975453673,-0.3720559639474119
-4.004404558215103,-0.5358952708223698
-2.9711547538353016,-0.10896381880492634
-4.2545231139519295,0
-2.985355743992966,-0.36470175714372133
-3.807606849305666,0
-3.701163369272261,-0.3272131450614013
-3.8067131227627016,-0.1380493404557619
-2.1292371417306586,-0.026399511074630677
-3.8393792136303078,-0.8198251039419009
-2.1553664691403296,-0.06474544207696975
-4.0550537439094985,-0.7712064398584518
-2.1590984141270635,-0.026404724703063542
-4.236850961399375,-0.9122391586144745
-3.444050080752672,-0.7138465199391777
-4.08997383330953,-0.8153041176524061
-2.8110813138946207,-0.30799443005418803
-3.941309224875099,-0.5603070452239252
-1.579622837784028,-0.026614478122478413
-3.7282510098449397,-0.6185538946323643
-1.85790405212897,-0.026378846635946807
-3.7302313798251885,-0.8380492783972736
-2.086996681301215,-0.02636889280863397
-3.7822175041186807,-0.700980693442717
-2.1103102195307986,-0.23339600181691178
-4.4552188018372725,0
-2.3145834828541787,-0.5465886282659149
-3.7226929422928055,-0.6613300675931846
-3.051997698331348,-0.10050400560050388
-3.9422970787212632,-0.6180830257645469
-2.3105867176798958,-0.026385415937108303
-3.869424613934053,-0.9626213799861574
-2.160383681963848,-0.958781422484551
-3.8607776143748462,-0.631536085396881
-3.2299875784688825,0
-3.925892583251681,-0.6711415016986344
-2.828364820684466,-0.28548615740244
-3.8222585208769764,-0.9653086893275304
-2.0801459858163707,-0.02659782660815091
-4.235103427334005,-0.7290162792624943
-2.4822245598583965,-0.026392919374167434
-3.917947111052754,-0.7681264977463079
-3.8093793689172193,-0.5588139394203215
-4.111590822749602,-0.501210159683951
-3.188332672854302,0
-3.823321840582305,-0.7829378613228553
-2.199606290854099,-0.026374699096686327
-3.82229380020298,-0.6326290039739086
-1.7690200530551852,-0.155871459106529
-3.71109263146775,-0.5099225442808842
-2.5453002845756414,-0.9613419722484896
-4.097766752354562,-0.5868742025521423
-2.0592011387582514,-0.21489465628406423
-4.113097865975484,-0.5332966752073112
-2.657165585619781,-0.0906665867409514
-4.5056679585993455,-0.9605095551720245
-2.123395531091989,-0.026378726987044687
-3.776035068649071,-0.677624856097118
-3.2429689442211047,-0.07443966110360112
-4.278289413565412,-0.7707234979344371
-2.629785627855659,-0.9715126906430405
-3.7711427661871593,-0.6381918857340706
-3.3210536949230747,-0.31785462993538804
-3.716835763103775,-0.5278811252688618
-2.851722090162513,0
-3.734929277700185,-0.8830968814729323
-3.1748844478933234,-0.5386343306446224
-3.911224565651967,0
-2.806659152304073,-0.7669135584890917
-4.727950451280797,-0.9194914739254586
-2.88686362528057,-0.03854129830368014
-3.7530409927166635,0
-1.8526928596774717,-0.02639810843050716
-3.8292718659359952,-0.9610519755879657
-1.6254049788743683,-0.47802950680465306
-4.168235094375586,-0.5003862054399848
-2.781956664986249,-0.22097411015588175
-3.854560784702474,-0.7409905153893863
-2.1635462709894715,-0.15183366347999028
-3.9619429372474784,-0.9720752500548827
-2.4105133453679453,-0.07813952109975064
-3.98785414212988,-0.6877483369326359
-2.80571738460251,-0.16675860174131574
-3.793179370934489,-0.839299235618783
-1.8567552245495453,-0.1435100324147982
-3.766388633916218,-0.5200577318325416
