steps,run0,run1,run2,run3,run4
552960,159.6251678,156.3348236,181.3864136,156.6424561,159.5637512
557056,171.5634918,157.9411926,186.258194,165.6888733,149.3882751
559104,166.3686066,161.7908325,176.4266663,130.7406769,153.2383575
561152,167.3106689,139.1889496,158.1735687,146.3996124,149.6789703
563200,197.9022827,139.7803802,185.4511108,169.4189911,183.3661804
565248,180.6750336,173.5059814,145.5892029,142.73909,153.1349182
569344,186.6586761,142.4195404,182.1469574,197.8757172,164.3579865
571392,140.1733398,147.5551758,177.5462799,152.2134552,153.7316742
575488,160.7572174,172.8781433,174.4433594,206.0038757,125.3903885
579584,136.8642426,185.783783,181.7131805,175.3734131,139.8851318
583680,136.4303894,144.7102051,160.2356262,197.8812256,158.964386
593920,186.3798981,184.8799286,160.3939972,181.2146912,149.5248108
598016,207.5756836,152.7876587,173.4408569,179.3632965,186.5545044
600064,190.2868805,164.5765991,183.301712,199.8461151,184.5784302
604160,157.8647919,151.4655151,192.8818512,182.9178467,164.0885162
606208,176.2071228,162.8616791,205.8328857,190.4331512,150.691452
608256,176.4633789,177.3960571,192.6944733,215.1776276,156.1712036
610304,184.3504028,182.3217621,180.6868591,188.1299744,187.1184387
612352,195.3122406,165.5993195,175.6966248,188.7644348,189.3534088
614400,173.0886841,180.3834229,177.5971375,183.4265747,167.173996
616448,189.0459137,170.3923035,177.53125,206.2685547,131.9236145
618496,174.9015198,187.6139832,178.6524963,214.0036621,154.6954193
620544,186.0987854,160.8181305,199.633255,183.3946686,160.6477356
622592,176.1194611,166.1667328,180.6733551,168.315567,163.9472351
630784,200.1478271,195.826416,185.7026367,169.7621155,149.3473816
632832,197.4431915,190.657196,194.371109,182.0571594,158.8370209
636928,152.2815399,133.5502167,205.8942871,179.7998352,156.8047028
643072,156.4386749,165.3896637,185.8909607,207.6703033,162.9947357
651264,161.1784058,155.7854462,165.3951263,214.6727295,178.7987518
653312,145.3398895,152.2317047,175.134491,214.443512,156.5967407
655360,164.0697479,150.3301392,164.8314972,186.5267944,173.4047546
657408,166.9583435,182.9135132,181.2969055,201.494278,145.7217255
661504,167.2389221,143.2062378,154.6908417,197.7651672,148.7628479
663552,201.2296143,139.5926971,174.6214142,224.5941925,165.3375702
665600,141.536438,147.9249268,185.6336212,188.9507599,146.9858856
667648,157.7255554,152.3740387,198.3727112,169.4891357,150.6680298
669696,202.7226257,154.527359,165.2346039,188.2225647,141.956192
671744,211.1647797,160.2737579,175.5404205,189.2171631,159.1572113
677888,140.8198395,158.47229,189.6279144,184.5088654,143.3962555
679936,174.0594635,146.0530853,215.8328094,188.5470886,197.9785919
684032,141.3496246,186.7654572,194.4976196,211.682312,149.1965637
688128,161.0496826,142.5796814,187.6530609,210.4559631,153.7612
692224,183.4999237,133.4190826,230.9340668,200.1776428,162.0688019
696320,178.4117126,157.0552979,198.1031799,178.5951233,175.9556274
700416,171.6449585,158.4529419,196.8551331,180.6688232,147.0976257
702464,179.3123016,189.8934021,216.9073334,180.6950531,178.9591522
704512,163.6440735,197.1432037,173.0471344,178.3230133,148.8655243
706560,187.7169037,205.2511597,208.0075989,165.7025604,165.101059
708608,177.9632568,179.0927582,187.3152466,190.895462,184.7105865
710656,169.0669556,154.3027039,171.516037,203.9532318,181.7045135
712704,171.915741,183.972702,138.761673,216.9115448,174.3281403
714752,191.7317505,190.532196,202.3283691,223.3016205,177.3847656
716800,172.4679565,178.9315491,187.0460815,219.7465515,158.2705994
720896,174.5204315,158.1277618,222.6282654,192.9316101,148.1387939
724992,221.811676,169.8968201,173.1219482,201.7832184,191.1081085
727040,167.0889282,175.1178436,231.2928772,215.556778,172.4225159
731136,194.9291382,153.8929596,171.2694855,162.8461914,185.7848663
735232,181.5523529,171.4378662,186.6786652,194.8641052,161.0704651
737280,179.8226929,167.632843,172.6832581,197.40448,200.2285767
739328,164.8960114,150.3730927,158.4304657,195.2783966,168.7227631
741376,165.1675262,146.8223877,143.1192932,197.606842,192.4732819
743424,166.6936035,154.9580841,204.2504272,172.7286224,166.7523193
745472,191.4408722,155.4003754,179.111496,223.4703522,181.2882996
747520,174.2902679,183.4420624,186.4404602,192.5953979,217.3786621
749568,168.6398468,175.0274506,198.8821411,227.107666,180.8180542
751616,174.359024,192.8971558,215.5535889,208.7686462,185.036972
753664,142.3894653,161.9683228,207.5342407,169.2444916,138.7268372
755712,163.1977844,147.8168945,194.1936493,173.742981,159.0449677
759808,197.5285797,178.260437,172.8567963,219.1495972,205.2363281
761856,199.9169922,134.4965668,216.2445679,214.1868134,186.9769897
765952,207.7643585,174.5469666,193.2175751,189.2810364,177.3346558
770048,203.4917603,145.0749817,184.4429169,181.1905823,180.5044708
772096,168.5743103,131.7703705,227.3871918,203.2384644,207.3033752
774144,175.0053558,185.3514709,185.3879395,203.2168732,211.9549713
776192,168.3929443,194.1705017,175.2841492,177.7430115,194.3088684
778240,148.6473846,171.4951019,164.7656708,172.0815125,165.9671021
782336,166.8343048,157.8508148,191.5871582,179.7529297,198.1425629
784384,191.0256195,170.5738068,202.8325195,180.5248718,235.5336151
788480,200.4993591,149.8593445,188.1082458,211.7091827,172.9981079
790528,193.641983,135.4502411,226.3115082,204.6233368,174.74086
792576,177.3745422,154.3045654,201.0341492,198.1346741,220.6712494
794624,210.3575897,165.7901917,183.6534424,197.0246582,216.9396973
796672,167.6421356,183.5874634,197.3209991,184.4362488,209.2640076
800768,183.6767883,156.2013397,223.6974335,196.8566437,204.8918152
802816,196.2750702,197.3275299,203.999176,214.7204895,201.1222534
804864,210.5669098,168.6848755,185.5536652,212.1903381,182.4016418
806912,203.5824738,140.1535797,199.6389923,177.5006409,167.5410309
817152,162.6245422,164.6893311,175.199707,172.5804443,150.7533722
819200,191.9157715,158.4824219,185.442749,195.370163,187.6070099
823296,211.1268616,177.5720673,219.2233276,171.5502777,208.5393829
825344,182.0619965,150.1185608,210.5417938,187.0572968,173.0377045
827392,184.5874176,189.8050537,210.258667,209.0360565,183.9558411
831488,197.1764832,165.2940979,213.1300354,183.7514496,186.3201294
833536,178.8533783,175.3321228,201.7715759,208.3604584,200.5355988
837632,193.1871185,140.0997467,168.9944611,215.0235901,218.2079773
841728,208.9449615,168.8607025,174.6100311,192.2025452,175.2951813
851968,167.7987518,174.7473297,234.8262024,188.6007996,209.0509033
854016,180.6692352,179.1209106,203.3318939,183.5102844,193.3975677
860160,221.9340668,160.4887238,209.7108307,200.3866577,204.4557343
862208,192.9143982,162.0566711,211.8815155,201.0982056,200.9466553
864256,165.0654907,165.8518677,205.266922,198.9551239,189.0963287
866304,174.0834961,179.8800354,159.9612885,239.7382813,190.3648987
868352,164.9544067,174.6628723,163.3900452,220.9089813,176.7027893
870400,226.4490356,165.3655701,204.3325195,191.1824493,198.0595398
874496,171.1381989,167.8760529,211.8582764,222.7060547,181.102951
878592,198.1220245,180.7492065,180.2845459,211.3938141,201.7330017
882688,161.7241364,187.8035126,186.3145905,202.9335327,162.2380371
886784,181.1091003,156.550766,201.1772614,211.9497528,188.2029266
892928,158.6938629,164.9422455,219.9185944,192.1555023,184.3759308
894976,175.7260742,171.0356445,205.2464752,213.3261108,178.4343719
901120,198.8530426,171.4519653,164.8430328,187.6409149,167.8986511
903168,193.3766174,179.9020538,204.9933624,172.1936951,178.6242371
905216,170.5081787,170.5403595,244.8480988,225.936203,153.3953247
907264,179.2640228,173.6309967,217.8330078,188.8679962,186.4746552
911360,180.0594025,189.7702789,227.7365265,203.8365326,208.0772858
913408,160.3692169,206.2546997,170.2226715,202.1278839,188.8312683
919552,225.707962,207.7383881,136.2861023,164.9825897,191.956131
